196 FRENCH 59 2011: overall = 4.71, workload = 1.86, difficulty = 2.71
197 ESPP 90a 2011: overall = 3.88, workload = 1.56, difficulty = 2.38
198 EXPOS 10.008 2012: overall = 4.80, workload = 1.80, difficulty = 2.90
199 WOMGEN 1266 2011: overall = 4.43, workload = 1.86, difficulty = 2.43
200 DRAMA 132 2012: overall = 4.45, workload = 1.64, difficulty = 2.82
201 SPANSH Aa 2011: overall = 4.32, workload = 1.72, difficulty = 2.56
202 OEB 167 2011: overall = 4.58, workload = 1.74, difficulty = 2.79
203 AESTH&INTP 13 2011: overall = 3.66, workload = 1.53, difficulty = 2.22
204 DRAMA 119 2012: overall = 4.56, workload = 1.94, difficulty = 2.44
205 ANTHRO 1165 2012: overall = 3.41, workload = 1.43, difficulty = 2.14
206 OEB 106 2012: overall = 4.50, workload = 1.67, difficulty = 2.83
207 ANTHRO 1882 2011: overall = 3.83, workload = 1.63, difficulty = 2.23
208 SCI-PHYUNV 12 2012: overall = 3.96, workload = 1.57, difficulty = 2.46
209 ENGLISH Cbbr 2012: overall = 4.64, workload = 1.82, difficulty = 2.73
210 AFRAMER 90r 2012: overall = 3.91, workload = 1.55, difficulty = 2.45
211 WOMGEN 1127 2012: overall = 4.47, workload = 1.80, difficulty = 2.60
212 MUSIC 51b 2011: overall = 3.96, workload = 1.59, difficulty = 2.44
213 ENGLISH Crr 2012: overall = 4.50, workload = 1.70, difficulty = 2.80
214 GENETIC 202 2011: overall = 4.21, workload = 1.79, difficulty = 2.36
215 SPANSH 50 2011: overall = 4.40, workload = 1.81, difficulty = 2.52
216 CULTR&BLF 35 2011: overall = 3.94, workload = 1.60, difficulty = 2.41
217 CULTR&BLF 22 2012: overall = 3.56, workload = 1.46, difficulty = 2.27
218 AESTH&INTP 29 2011: overall = 4.65, workload = 2.00, difficulty = 2.48
219 ENGLISH Cnfr 2011: overall = 4.90, workload = 1.90, difficulty = 2.90
220 SCRB 190 2012: overall = 4.23, workload = 1.54, difficulty = 2.83
221 PSY 980j 2012: overall = 4.00, workload = 1.75, difficulty = 2.25
222 PHIL 312 2012: overall = 3.50, workload = 1.00, difficulty = 3.00
223 EXPOS 10.009 2011: overall = 4.70, workload = 1.90, difficulty = 2.70
224 HISTSCI 136 2011: overall = 4.28, workload = 1.76, difficulty = 2.52
225 GOV 3001 2012: overall = 2.94, workload = 1.44, difficulty = 1.72
226 CULTR&BLF 33 2011: overall = 4.10, workload = 1.70, difficulty = 2.46
227 OEB 132 2011: overall = 4.27, workload = 1.64, difficulty = 2.73
228 NEUROBIO 95hfu 2011: overall = 4.92, workload = 2.17, difficulty = 2.50
229 EXPOS 10.016 2011: overall = 4.60, workload = 1.80, difficulty = 2.80
230 SCRB 157 2011: overall = 4.50, workload = 1.81, difficulty = 2.69
231 SPANSH 59 2012: overall = 4.50, workload = 1.89, difficulty = 2.56
