136 SPANSH 61a 2011: overall = 4.11, workload = 1.44, difficulty = 2.67
137 ETH-REASON 12 2011: overall = 3.05, workload = 1.60, difficulty = 2.35
138 AFRAMER 90r 2012: overall = 3.91, workload = 1.55, difficulty = 2.45
139 MBB 99z 2011: overall = 4.08, workload = 1.62, difficulty = 2.31
140 ANTHRO 1131 2011: overall = 4.09, workload = 1.55, difficulty = 2.45
141 NEUROBIO 95hfx 2011: overall = 4.89, workload = 1.67, difficulty = 2.22
142 AFRAMER 90r.g 2012: overall = 4.42, workload = 1.58, difficulty = 2.40
143 GOV 50 2011: overall = 3.05, workload = 1.51, difficulty = 2.54
144 MEDVLSTD 107 2011: overall = 4.21, workload = 1.50, difficulty = 2.57
145 CHEM 170 2012: overall = 4.64, workload = 1.64, difficulty = 2.29
146 AESTH&INTP 11 2012: overall = 4.36, workload = 1.64, difficulty = 2.29
147 PSY 980k 2011: overall = 4.67, workload = 1.58, difficulty = 2.42
148 ROM-STD 111 2012: overall = 4.42, workload = 1.50, difficulty = 2.58
149 MATH 143 2011: overall = 4.00, workload = 1.59, difficulty = 2.41
150 AFRAMER 20 2012: overall = 3.59, workload = 1.59, difficulty = 2.41
151 ETH-REASON 18 2012: overall = 4.04, workload = 1.58, difficulty = 2.43
152 SCI-LIVSYS 11 2012: overall = 4.16, workload = 1.57, difficulty = 2.45
153 SCI-PHYUNV 12 2012: overall = 3.96, workload = 1.57, difficulty = 2.46
154 ENG-SCI 139 2012: overall = 2.49, workload = 1.67, difficulty = 2.27
155 GHHP 60 2012: overall = 4.22, workload = 1.61, difficulty = 2.39
156 CULTR&BLF 35 2011: overall = 3.94, workload = 1.60, difficulty = 2.41
157 SYSTBIO 212 2012: overall = 4.88, workload = 1.75, difficulty = 2.12
158 MUSIC 51b 2011: overall = 3.96, workload = 1.59, difficulty = 2.44
159 AFRAMER 197 2011: overall = 4.64, workload = 1.64, difficulty = 2.36
160 STAT 104 2011: overall = 4.06, workload = 1.65, difficulty = 2.34
161 OEB 59 2011: overall = 4.03, workload = 1.61, difficulty = 2.42
162 DRAMA 117 2011: overall = 4.55, workload = 1.55, difficulty = 2.55
163 SCI-PHYUNV 12 2011: overall = 3.42, workload = 1.47, difficulty = 2.71
164 ANTHRO 1995 2011: overall = 3.02, workload = 1.66, difficulty = 2.34
165 ENG-SCI 190 2012: overall = 3.57, workload = 1.73, difficulty = 2.20
166 PORTUG Ba 2011: overall = 4.10, workload = 1.76, difficulty = 2.14
167 FOLKMYTH 167 2012: overall = 4.67, workload = 1.67, difficulty = 2.33
168 MATH 263x 2012: overall = 3.83, workload = 1.17, difficulty = 3.33
169 AESTH&INTP 38 2011: overall = 4.13, workload = 1.60, difficulty = 2.47
170 CULTR&BLF 47 2011: overall = 3.81, workload = 1.63, difficulty = 2.41
171 SCI-PHYUNV 26 2012: overall = 4.22, workload = 1.70, difficulty = 2.28
172 SOC-WORLD 24 2011: overall = 4.09, workload = 1.66, difficulty = 2.37
173 SOCIOL 25 2011: overall = 3.24, workload = 1.66, difficulty = 2.38
174 PSY 980n 2011: overall = 4.23, workload = 1.62, difficulty = 2.46
175 SPANSH Ab 2011: overall = 4.30, workload = 1.61, difficulty = 2.48
176 SWAHILI A 2011: overall = 4.30, workload = 1.59, difficulty = 2.52
177 DRAMA 114 2011: overall = 5.00, workload = 1.64, difficulty = 2.43
178 SPANSH 194 2012: overall = 4.41, workload = 1.65, difficulty = 2.41
179 ESPP 90p 2012: overall = 4.65, workload = 1.71, difficulty = 2.29
180 SPANSH Ab 2012: overall = 4.29, workload = 1.67, difficulty = 2.39
181 SOCIOL 183 2011: overall = 4.26, workload = 1.74, difficulty = 2.26
182 SOCIOL 25 2012: overall = 3.50, workload = 1.62, difficulty = 2.50
183 PSY 1507 2011: overall = 4.92, workload = 1.58, difficulty = 2.58
184 DRAMA 115 2012: overall = 3.92, workload = 1.75, difficulty = 2.25
185 PSY 980j 2012: overall = 4.00, workload = 1.75, difficulty = 2.25
186 PSY 18 2011: overall = 4.43, workload = 1.69, difficulty = 2.37
187 SCRB 162 2011: overall = 4.25, workload = 1.69, difficulty = 2.38
188 US-WORLD 19 2011: overall = 3.96, workload = 1.61, difficulty = 2.54
189 ENGLISH Chcr 2011: overall = 4.67, workload = 1.67, difficulty = 2.42
190 SOC-WORLD 46 2012: overall = 3.52, workload = 1.67, difficulty = 2.43
191 PORTUG C 2011: overall = 3.77, workload = 1.67, difficulty = 2.43
192 AESTH&INTP 24 2011: overall = 3.94, workload = 1.49, difficulty = 2.79
193 ANTHRO 1010 2011: overall = 3.60, workload = 1.57, difficulty = 2.63
194 GENETIC 228 2011: overall = 4.22, workload = 1.67, difficulty = 2.44
195 SCAND 150 2011: overall = 3.61, workload = 1.66, difficulty = 2.46
196 PORTUG Aa 2012: overall = 4.48, workload = 1.79, difficulty = 2.21
197 STAT 104 2011: overall = 4.19, workload = 1.75, difficulty = 2.30
198 GHHP 60 2011: overall = 4.40, workload = 1.65, difficulty = 2.50
199 AESTH&INTP 26 2011: overall = 3.77, workload = 1.63, difficulty = 2.54
200 E-PSCI 181 2011: overall = 4.20, workload = 1.50, difficulty = 2.80
201 MUSIC 2 2011: overall = 4.67, workload = 1.73, difficulty = 2.34
202 AFRAMER 90r.i 2011: overall = 4.40, workload = 1.60, difficulty = 2.60
203 VES 92 2011: overall = 3.62, workload = 1.62, difficulty = 2.56
204 SPANSH 59 2011: overall = 4.29, workload = 1.82, difficulty = 2.18
205 CULTR&BLF 34 2011: overall = 4.32, workload = 1.65, difficulty = 2.52
206 CULTR&BLF 30 2012: overall = 3.85, workload = 1.58, difficulty = 2.66
207 ECON 2091 2012: overall = 4.45, workload = 1.70, difficulty = 2.42
208 ESPP 90s 2011: overall = 4.62, workload = 1.67, difficulty = 2.48
209 AESTH&INTP 13 2012: overall = 2.98, workload = 1.67, difficulty = 2.49
210 AESTH&INTP 24 2012: overall = 3.94, workload = 1.48, difficulty = 2.87
211 MUSIC 153 2012: overall = 4.65, workload = 1.73, difficulty = 2.38
212 MCB 290hfr 2011: overall = 3.96, workload = 1.48, difficulty = 2.88
213 VES 80 2012: overall = 5.00, workload = 1.92, difficulty = 2.00
214 SPANSH 30 2011: overall = 4.27, workload = 1.70, difficulty = 2.45
215 SPANSH Ab 2011: overall = 4.04, workload = 1.66, difficulty = 2.53
216 CULTR&BLF 33 2011: overall = 4.10, workload = 1.70, difficulty = 2.46
217 SCI-PHYUNV 30 2011: overall = 2.92, workload = 1.53, difficulty = 2.82
218 HISTSCI 150 2011: overall = 3.96, workload = 1.71, difficulty = 2.46
219 AFRAMER 111 2011: overall = 3.82, workload = 1.64, difficulty = 2.60
220 SCI-LIVSYS 18 2011: overall = 4.00, workload = 1.67, difficulty = 2.55
221 ANTHRO 1755 2011: overall = 3.88, workload = 1.65, difficulty = 2.59
222 HISTSCI 108 2012: overall = 3.46, workload = 1.73, difficulty = 2.43
223 PSY 1854 2011: overall = 4.78, workload = 1.78, difficulty = 2.33
224 AFRAMER 102 2011: overall = 3.86, workload = 1.75, difficulty = 2.40
225 HEB 1565 2011: overall = 4.10, workload = 1.70, difficulty = 2.50
226 CULTR&BLF 25 2011: overall = 3.86, workload = 1.70, difficulty = 2.50
227 ANTHRO 1610 2011: overall = 4.10, workload = 1.70, difficulty = 2.50
228 AFRAMER 20 2011: overall = 3.58, workload = 1.76, difficulty = 2.39
229 SCRB 190 2012: overall = 4.23, workload = 1.54, difficulty = 2.83
230 PORTUG Aa 2011: overall = 4.32, workload = 1.81, difficulty = 2.29
231 CULTR&BLF 31 2011: overall = 4.00, workload = 1.69, difficulty = 2.53
232 VES 160 2011: overall = 4.82, workload = 1.73, difficulty = 2.45
233 SOC-WORLD 30 2011: overall = 3.46, workload = 1.63, difficulty = 2.66
234 HAA 100r 2011: overall = 4.09, workload = 1.64, difficulty = 2.64
235 HAA 161v 2011: overall = 4.08, workload = 1.77, difficulty = 2.38
236 MATH 141 2011: overall = 3.83, workload = 1.62, difficulty = 2.69
237 SOCIOL 107 2011: overall = 3.26, workload = 1.74, difficulty = 2.45
238 MBB 99z 2012: overall = 4.77, workload = 1.85, difficulty = 2.23
239 HEB 1416 2011: overall = 4.07, workload = 1.73, difficulty = 2.47
